,RunId,iteration,Step,num_nodes,avg_node_degree,initial_outbreak_size,virus_spread_chance,virus_check_frequency,recovery_chance,gain_resistance_chance,hygiene_rate,Infected,Susceptible,Resistant
309,309,28,70,10,3,1,0.4,0.4,0.3,0.5,0.1,0,1,9
310,310,28,70,10,3,1,0.4,0.4,0.3,0.5,0.2,0,2,8
311,311,28,70,10,3,1,0.4,0.4,0.3,0.5,0.30000000000000004,0,2,8
312,312,28,70,10,3,1,0.4,0.4,0.3,0.5,0.4,0,3,7
313,313,28,70,10,3,1,0.4,0.4,0.3,0.5,0.5,0,0,10
314,314,28,70,10,3,1,0.4,0.4,0.3,0.5,0.6000000000000001,0,0,10
315,315,28,70,10,3,1,0.4,0.4,0.3,0.5,0.7000000000000001,0,0,10
316,316,28,70,10,3,1,0.4,0.4,0.3,0.5,0.8,0,7,3
317,317,28,70,10,3,1,0.4,0.4,0.3,0.5,0.9,0,9,1
318,318,28,70,10,3,1,0.4,0.4,0.3,0.5,1.0,0,1,9
319,319,29,70,10,3,1,0.4,0.4,0.3,0.5,0.0,0,0,10
320,320,29,70,10,3,1,0.4,0.4,0.3,0.5,0.1,0,0,10
321,321,29,70,10,3,1,0.4,0.4,0.3,0.5,0.2,0,6,4
